subset,arch,ipc,subject,top1,nc1,nc2,nc3,ece,oscr_msp,auroc_msp,fpr95_msp
cifar100,conv3,1,distilled-set geometry (teacher feats),100.0,0.0,0.197278591527961,0.059455715113383004,0.015880578756332,,,
cifar100,conv3,1,real-train subset geometry (n/cls=1),74.00000095367432,0.0,0.192800318135392,0.057831979623427,0.08218113094568201,,,
cifar100,conv3,1,teacher reference (real val vs SVHN),59.67000126838684,8.131947066881104,0.24954160700551503,0.171741627452928,0.103546669410169,0.5633486,0.880136675,0.48550000000000004
cifar100,conv3,10,distilled-set geometry (teacher feats),99.90000128746033,0.8944491063812481,0.211729798944386,0.09790048522588801,0.025920029222965,,,
cifar100,conv3,10,real-train subset geometry (n/cls=10),75.19999742507935,1.520952787163877,0.17303486080419803,0.10633153920928501,0.043960986830294,,,
cifar100,conv3,10,teacher reference (real val vs SVHN),59.67000126838684,8.131947066881104,0.24954160700551503,0.171741627452928,0.103546669410169,0.5633486,0.880136675,0.48550000000000004
cifar100,conv3,50,distilled-set geometry (teacher feats),99.01999831199646,2.697021131525065,0.23742300358186902,0.129720176782625,0.061923231130838,,,
cifar100,conv3,50,real-train subset geometry (n/cls=50),76.98000073432922,5.147975993658598,0.21777568490700702,0.15511286067541802,0.024605169054865,,,
cifar100,conv3,50,teacher reference (real val vs SVHN),59.67000126838684,8.131947066881104,0.24954160700551503,0.171741627452928,0.103546669410169,0.5633486,0.880136675,0.48550000000000004
cifar100,resnet18_modified,1,distilled-set geometry (teacher feats),100.0,0.0,0.145279649106101,0.078237029440841,0.014840366840362001,,,
cifar100,resnet18_modified,1,real-train subset geometry (n/cls=1),100.0,0.0,0.14744649844766,0.08690884578966,0.015523721575737,,,
cifar100,resnet18_modified,1,teacher reference (real val vs SVHN),70.92999815940857,6.622243390435842,0.17585990158189302,0.145975028230714,0.12162075768411101,0.66190962,0.86492027,0.5985
cifar100,resnet18_modified,10,distilled-set geometry (teacher feats),99.00000095367432,0.9469427624949941,0.15610210917564002,0.09436745469539501,0.010117683827877,,,
cifar100,resnet18_modified,10,real-train subset geometry (n/cls=10),99.50000047683716,1.913878354887836,0.126473518375605,0.11523766870745202,0.017675736010074,,,
cifar100,resnet18_modified,10,teacher reference (real val vs SVHN),70.92999815940857,6.622243390435842,0.17585990158189302,0.145975028230714,0.12162075768411101,0.66190962,0.86492027,0.5985
cifar100,resnet18_modified,50,distilled-set geometry (teacher feats),97.79999852180481,1.728275778611485,0.172806864301204,0.10515724301559501,0.007902515506744,,,
cifar100,resnet18_modified,50,real-train subset geometry (n/cls=50),99.72000122070312,2.9123060129938683,0.129873258878712,0.12426781231712102,0.018863734167814002,,,
cifar100,resnet18_modified,50,teacher reference (real val vs SVHN),70.92999815940857,6.622243390435842,0.17585990158189302,0.145975028230714,0.12162075768411101,0.66190962,0.86492027,0.5985
tinyimagenet,conv4,1,distilled-set geometry (teacher feats),100.0,0.0,0.127001643360098,0.051219495885795004,0.019090344309806002,,,
tinyimagenet,conv4,1,real-train subset geometry (n/cls=1),70.49999833106995,0.0,0.122788560817463,0.05134382307154801,0.09710099913179801,,,
tinyimagenet,conv4,1,teacher reference (real val vs SVHN),50.15000104904175,8.969232630647547,0.21612842440937302,0.169104012779312,0.065133160223066,0.49168148,0.9446382999999999,0.2728
tinyimagenet,conv4,10,distilled-set geometry (teacher feats),99.75000023841858,1.438396385600203,0.158073133927032,0.100999471767723,0.046128133982419,,,
tinyimagenet,conv4,10,real-train subset geometry (n/cls=10),70.99999785423279,2.204911986537976,0.14872152281561202,0.10685382182320101,0.09101546072959901,,,
tinyimagenet,conv4,10,teacher reference (real val vs SVHN),50.15000104904175,8.969232630647547,0.21612842440937302,0.169104012779312,0.065133160223066,0.49168148,0.9446382999999999,0.2728
tinyimagenet,conv4,50,distilled-set geometry (teacher feats),98.580002784729,5.183923807329173,0.20059351658378402,0.141527061278714,0.11061107553243602,,,
tinyimagenet,conv4,50,real-train subset geometry (n/cls=50),69.98000144958496,8.673298661384546,0.214569449504896,0.168709901198484,0.076963140622526,,,
tinyimagenet,conv4,50,teacher reference (real val vs SVHN),50.15000104904175,8.969232630647547,0.21612842440937302,0.169104012779312,0.065133160223066,0.49168148,0.9446382999999999,0.2728
tinyimagenet,resnet18_modified,1,distilled-set geometry (teacher feats),100.0,0.0,0.136419112751086,0.08016109668998801,0.000746830105781,,,
tinyimagenet,resnet18_modified,1,real-train subset geometry (n/cls=1),100.0,0.0,0.142147557994378,0.085636681381484,0.031630826294422,,,
tinyimagenet,resnet18_modified,1,teacher reference (real val vs SVHN),62.0199978351593,15.192967873940654,0.21000904891611302,0.16758818817697002,0.126434089919924,0.59725608,0.9070001050000001,0.3914
tinyimagenet,resnet18_modified,10,distilled-set geometry (teacher feats),99.94999766349792,1.8818088559004431,0.148269095629113,0.100245290829368,0.0025930784940710002,,,
tinyimagenet,resnet18_modified,10,real-train subset geometry (n/cls=10),99.84999895095825,4.422260611772616,0.14840031794948702,0.127168862025672,0.028698734953999,,,
tinyimagenet,resnet18_modified,10,teacher reference (real val vs SVHN),62.0199978351593,15.192967873940654,0.21000904891611302,0.16758818817697002,0.126434089919924,0.59725608,0.9070001050000001,0.3914
tinyimagenet,resnet18_modified,50,distilled-set geometry (teacher feats),99.72000122070312,3.88301215811895,0.17466124519779902,0.11578322438586901,0.007197060218453,,,
tinyimagenet,resnet18_modified,50,real-train subset geometry (n/cls=50),99.87000226974487,7.710420763497187,0.15812098194774302,0.142308806301851,0.027161420163512,,,
tinyimagenet,resnet18_modified,50,teacher reference (real val vs SVHN),62.0199978351593,15.192967873940654,0.21000904891611302,0.16758818817697002,0.126434089919924,0.59725608,0.9070001050000001,0.3914
